"date","vip_level","population","total_gem_used"
"2014-08-07","6","1327","61323193"
"2014-08-07","7","1479","81771783"
"2014-08-07","8","2253","197416871"
"2014-08-07","9","1230","176605232"
"2014-08-07","10","1331","292708374"
"2014-08-07","11","1230","447077370"
"2014-08-07","12","785","510406264"
"2014-08-07","13","513","929695208"
"2014-08-08","0","2265","602622"
"2014-08-08","1","1937","2006473"
"2014-08-08","2","21124","241158877"
"2014-08-08","3","10143","243664960"
"2014-08-08","4","1029","31375811"
"2014-08-08","5","2086","76746667"
"2014-08-08","6","1334","61823176"
"2014-08-08","7","1479","81314323"
"2014-08-08","8","2235","195734393"
"2014-08-08","9","1210","174286826"
"2014-08-08","10","1313","290151776"
"2014-08-08","11","1226","444406754"
"2014-08-08","12","765","498371848"
"2014-08-08","13","510","927173657"
"2014-08-09","0","2138","645027"
"2014-08-09","1","1683","1795526"
"2014-08-09","2","20420","238893858"
"2014-08-09","3","10030","241626438"
"2014-08-09","4","1032","31591181"
"2014-08-09","5","2121","77260483"
"2014-08-09","6","1330","61895062"
"2014-08-09","7","1460","80851630"
"2014-08-09","8","2197","194028492"
"2014-08-09","9","1204","174135133"
"2014-08-09","10","1283","283619663"
"2014-08-09","11","1213","442213552"
"2014-08-09","12","765","498846958"
"2014-08-09","13","502","912120671"
"2014-08-10","0","2451","588522"
"2014-08-10","1","1624","1676095"
"2014-08-10","2","20500","240372479"
"2014-08-10","3","10038","241264420"
"2014-08-10","4","1022","30875658"
"2014-08-10","5","2149","79572166"
"2014-08-10","6","1335","61965431"
"2014-08-10","7","1462","80652080"
"2014-08-10","8","2194","193634246"
"2014-08-10","9","1216","175514509"
"2014-08-10","10","1308","288988617"
"2014-08-10","11","1216","442533210"
"2014-08-10","12","775","504635612"
"2014-08-10","13","510","922228117"
"2014-08-11","0","3439","690808"
"2014-08-11","1","1568","1657514"
"2014-08-11","2","22240","248987286"
"2014-08-11","3","10098","243151134"
"2014-08-11","4","1005","30809845"
"2014-08-11","5","2116","78559965"
"2014-08-11","6","1328","62224824"
"2014-08-11","7","1444","80701711"
"2014-08-11","8","2213","195634180"
"2014-08-11","9","1227","175937354"
"2014-08-11","10","1295","287511848"
"2014-08-11","11","1232","447247625"
"2014-08-11","12","778","506197197"
"2014-08-11","13","512","933618946"
"2014-08-12","0","3471","731552"
"2014-08-12","1","1587","1496767"
"2014-08-12","2","20322","238560989"
"2014-08-12","3","9935","240755307"
"2014-08-12","4","1020","31238609"
